author,rank,target,author_count,other_authors_count,author_rate,other_authors_rate,log2_rate_ratio_smoothed
Agent Phage,26,在了,6,4,0.00014285714285714287,2.380952380952381e-05,2.48540106514216
Agent Phage,27,限制,7,5,0.00016666666666666666,2.9761904761904762e-05,2.415011737250762
Agent Phage,28,她,40,33,0.0009523809523809524,0.00019642857142857144,2.270063401339663
Agent Phage,29,全球超自然,5,4,0.00011904761904761905,2.380952380952381e-05,2.2630086438057124
Agent Phage,30,现场,5,4,0.00011904761904761905,2.380952380952381e-05,2.2630086438057124
Agent Phage,31,相关,26,23,0.000619047619047619,0.0001369047619047619,2.1698992394142307
Agent Phage,32,控制,8,7,0.00019047619047619048,4.1666666666666665e-05,2.1698992394142307
Agent Phage,33,攻击,9,8,0.00021428571428571427,4.761904761904762e-05,2.151977331416968
Agent Phage,34,奇术,10,9,0.0002380952380952381,5.357142857142857e-05,2.137477761721853
Agent Phage,35,明显,7,7,0.00016666666666666666,4.1666666666666665e-05,1.9999742379719185
Agent Phage,36,了我,5,5,0.00011904761904761905,2.9761904761904762e-05,1.9999742379719183
Agent Phage,37,协议,5,5,0.00011904761904761905,2.9761904761904762e-05,1.9999742379719183
Agent Phage,38,博士,5,5,0.00011904761904761905,2.9761904761904762e-05,1.9999742379719183
Agent Phage,39,未来,5,5,0.00011904761904761905,2.9761904761904762e-05,1.9999742379719183
Agent Phage,40,需,9,10,0.00021428571428571427,5.9523809523809524e-05,1.8624707142219834
Agent Phage,41,资料,8,9,0.00019047619047619048,5.357142857142857e-05,1.8479711445268685
Agent Phage,42,用于,7,8,0.00016666666666666666,4.761904761904762e-05,1.830049236529606
Agent Phage,43,这样的,7,8,0.00016666666666666666,4.761904761904762e-05,1.830049236529606
Agent Phage,44,来说,6,7,0.00014285714285714287,4.1666666666666665e-05,1.8073291600295225
Agent Phage,45,模因,6,7,0.00014285714285714287,4.1666666666666665e-05,1.8073291600295225
Agent Phage,46,清楚,5,6,0.00011904761904761905,3.571428571428572e-05,1.7775818166354704
Agent Phage,47,说的,5,6,0.00011904761904761905,3.571428571428572e-05,1.7775818166354704
Agent Phage,48,才,10,12,0.0002380952380952381,7.142857142857143e-05,1.7589661384681232
Agent Phage,49,稳定,8,10,0.00019047619047619048,5.9523809523809524e-05,1.7104676207769336
Agent Phage,50,删除,7,9,0.00016666666666666666,5.357142857142857e-05,1.678046143084556
Agent Phage,51,那是,7,9,0.00016666666666666666,5.357142857142857e-05,1.678046143084556
Agent Phage,52,的情况,6,8,0.00014285714285714287,4.761904761904762e-05,1.6374041585872101
Agent Phage,53,实体,24,32,0.0005714285714285715,0.00019047619047619048,1.5994363083881897
Agent Phage,54,也会,5,7,0.00011904761904761905,4.1666666666666665e-05,1.5849367386930748
Agent Phage,55,方法,5,7,0.00011904761904761905,4.1666666666666665e-05,1.5849367386930748
Agent Phage,56,效应,8,11,0.00019047619047619048,6.547619047619048e-05,1.5849367386930746
Agent Phage,57,死亡,7,10,0.00016666666666666666,5.9523809523809524e-05,1.5405426193346212
Agent Phage,58,情况,16,23,0.00038095238095238096,0.0001369047619047619,1.5024745785011016
Agent Phage,59,你是,6,9,0.00014285714285714287,5.357142857142857e-05,1.4854010651421603
Agent Phage,60,应,6,9,0.00014285714285714287,5.357142857142857e-05,1.4854010651421603
Agent Phage,61,拥有,6,9,0.00014285714285714287,5.357142857142857e-05,1.4854010651421603
Agent Phage,62,造成,6,9,0.00014285714285714287,5.357142857142857e-05,1.4854010651421603
Agent Phage,63,黑色,6,9,0.00014285714285714287,5.357142857142857e-05,1.4854010651421603
Agent Phage,64,真的,15,22,0.00035714285714285714,0.00013095238095238096,1.4764122819149055
Agent Phage,65,人员,19,28,0.00045238095238095237,0.00016666666666666666,1.4639213377317086
Agent Phage,66,您,19,28,0.00045238095238095237,0.00016666666666666666,1.4639213377317086
Agent Phage,67,却,11,17,0.0002619047619047619,0.0001011904761904762,1.4150117372507622
Agent Phage,68,作用,7,11,0.00016666666666666666,6.547619047619048e-05,1.4150117372507622
Agent Phage,69,经过,7,11,0.00016666666666666666,6.547619047619048e-05,1.4150117372507622
Agent Phage,70,许多,7,11,0.00016666666666666666,6.547619047619048e-05,1.4150117372507622
Agent Phage,71,了解,5,8,0.00011904761904761905,4.761904761904762e-05,1.4150117372507622
